No,Contents
496,"En Colombia deberia establecerse la pena de muerte a los delincuentes asesinos y ladrones reinsidentes y si son venezolanos tambien deben pagar su mala conducta, deberiamos copiar la ley china."
497,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
498,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
499,"RT @A_OrdonezM: Hoy hablaré con @VickyDavilaH sobre los venezolanos en el país y su impacto en la seguridad y el trabajo de los colombianos, sobre los violadores de niños y la necesidad de evaluar la pena de muerte y sobre cómo someteremos a los bandidos al imperio de la ley. @WRadioColombia https://t.co/0o7qrk5ZiZ"
504,"@santiago131993 @LeoMontana0214 Venezolanos vinieron a regalarse en muchos empleos, ahí pierden los Colombianos. Hasta las prostitutas se quejan de ello por competencia desleal: https://t.co/QKuEuHzq0H"
505,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
509,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
511,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
512,"RT @R_VERGARAH: #VenezolanosEnRetoRCN 1 de cada 10 venezolanos están trabajando dignamente en Colombia, otros estan pidiendo limosna, prostitución y delincuencia. Si en Colombia no se le garantiza el trabajo a los mismos colombianos ¿que solución tiene los candidatos para este problema?"
514,"RT @NTN24: 🎥 [#VENEZUELA] ""Presos venezolanos optan por comer ratas y palomas para no morir de hambre"": Periodista Pableysa Ostos https://t.co/Rp6WqG0MAH https://t.co/sXaCsApTDK"
515,"RT @TAJODE: Ojalá y todos los venezolanos usaran ese traje, desde hace varios años hubiéramos salido de estos criminales Mil bendiciones bebé ojalá no lo llegues a usar de grande esperemos que los grandes entiendan y nos ayuden en las calles del país. La libertad debemos buscarla ya es hora! https://t.co/iK9g1Vqn0J"
516,"@Rahuvi_RM @EtMadridista @VozMadridista De la delincuencia en las ciudades grandes, es que viven los Venezolanos porque se dan cuenta que ni hay empleo para la gente de aca. Menos para ellos"
517,"Yo entiendo lo grave de la crisis en Venezuela y lo desesperante de ella para los venezolanos. No entiendo que vengan a dañar el mercado laboral, cobrando menos dinero. No sean hijueputas"
519,"@Juan_Florez @ferrojasparra @EnriquePenalosa Peñalooser responsable, no ha hecho nada absolutamente, una ciudad en caos total. Lo invito a que no ande en su camioneta o auto, sino en bus, camine vea las basuras, venezolanos y ladrones que acechan a los contribuyentes a diario."
520,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
522,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
523,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
527,Colombia últimamente: — Inseguridad por culpa de Venezolanos. — Virus de gripa por culpa de Venezolanos. — TransMilenio a $2300 por los Venezolanos. — Llueve por culpa de Venezolanos. — Hace sol por culpa de Venezolanos.
534,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
536,RT @alfredohnc: Ayer los Venezolanos no vieron el peligro que significa esta bandera en su país. // Hoy #PetroEnMedellin https://t.co/eMk8S5HWLy
538,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
539,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
540,RT @hcapriles: Es inaceptable que se use la condición que tienen los presos en el país para imponerles una posición política! Qué vean las ONG defensoras de DDHH cómo los adoctrinan. Estos venezolanos están presos dos veces porque aunque hayan cometido un delito tienen derecho a pensar distinto https://t.co/L8kmhB7dSw
542,"RT @SuarezJuanpa: #estonoesunafrontera @URosario @URosarioRadio Los venezolanos también tiene estudios y no todos son ladrones, ellos nos puede aportar muchas cosas positivas para nuestro país debemos mirarlos con otros ojos y darnos cuenta del valor que ellos tienen."
547,"RT @1Daribel: así que si usted conoce venezolanos que son “prostitutas, ladrones, y narco” eso habla más de usted, de su círculo social y su entorno que de los venezolanos, pregúntele a un venezolano que vea trabajando en la calle que titulo tiene guardado"
551,RT @alfredohnc: Ayer los Venezolanos no vieron el peligro que significa esta bandera en su país. // Hoy #PetroEnMedellin https://t.co/eMk8S5HWLy
553,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
558,@PoliciaBogota Se han incrementado las capturas de ciudadanos venezolanos involucrados en hechos criminales: General Hoover Penilla @PoliciaBogota #LoDijoEnRCNRadio https://t.co/YLNxXVRPOb
559,"@RolandoGonGa @TransMilenio advertidos estamos nosotros de como trataran al ciudadano inconforme RATAS como ustedes, cualquier protesta o manifestacion ya es terrorismo o infiltracion venezolana JAJAJAJAJA #corrucpcionradical"
562,RT @DanielBlancoPz: Dos venezolanos han sido asesinados en Chile durante lo que va de mes. Danny Argenis Hernández Carreño (25) y Wilis Barroso Ramírez (38) fueron apuñalados (en situaciones diferentes) mientras trataban de frustrar un atraco en las calles de Santiago.
564,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
565,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
566,"QT @juanauribep: Dudo de que haya manera de cubrir 2.500 kms, 280 trochas localizadas (debe haber muchas más), zonas del río sin agua, todo con bandas criminales asentadas en lucha por el negocio del contrabando, el ELN reclutando venezolanos y la Guardia cada día más corrupta. https://t.co/wOFk9e0FE5 ; @Lauraggils Mmm. No será al contrario? Que en la guerra tenía demasiados frentes y ahora si debería poder?"
567,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
568,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
571,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
575,"RT @TAMARA_SUJU: No hay nada que me indigne más que ver a Criminales como @lortegadiaz y @Rodriguezto hablando y sonriendo en espacios democráticos como si nunca hubieran sido ejecutores y cabezas d mando de la represion, persecución, encarcelacimieto y torturas de miles de Venezolanos. #JUSTICIA"
577,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
578,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
580,RT @DanielBlancoPz: Dos venezolanos han sido asesinados en Chile durante lo que va de mes. Danny Argenis Hernández Carreño (25) y Wilis Barroso Ramírez (38) fueron apuñalados (en situaciones diferentes) mientras trataban de frustrar un atraco en las calles de Santiago.
582,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
583,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
584,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
589,#Destacado Autoridades colombianas denuncian creciente participación de venezolanos en acciones criminales. https://t.co/uqxixa7BKu
591,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
594,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
596,RT @galeano_27: En @CaracolCucuta el Delegado de la Registraduria advirtió el peligro y riesgos de los venezolanos en sede alterna habilitada para los extranjeros. En entrevista demandó apoyo para organización del espacio público.
597,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
598,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
603,RT @SebasRiosM: Colombia últimamente: — Inseguridad por culpa de Venezolanos. — Virus de gripa por culpa de Venezolanos. — TransMilenio a $2300 por los Venezolanos. — Llueve por culpa de Venezolanos. — Hace sol por culpa de Venezolanos.
604,"RT @mindefensa: Al GR @vladimirpadrino, ministro de @PrensaFANB, se le hizo saber nuestra preocupación por la creciente participación de venezolanos en delincuencia común en territorio colombiano. Han ejecutado delitos contra la propiedad privada, la libertad y el derecho a la vida: #LCVillegas https://t.co/MSHtoIMT85"
605,"RT @liliantintori: En @VoluntadPopular NO militan terroristas ni asesinos, sino líderes sociales comprometidos en buscar soluciones ante los problemas de los venezolanos. Trabajar por un mejor país no es delito #DDHH"
609,"QT @FiscaliaCol: que locura, de dar ideas de quitar tres ceros ahorita con la situacion con el venezuela con relacion a peso de venezuela como quedaria. esta trabajando para los colombianos en su conomia o para el acomodo de la moneda venezolana.. no piensen tanto, no jodassss... https://t.co/0FmUb20sLO ; Fiscal propone cambiar el peso a un nuevo peso para que pierda poder el dinero encaletado producto de actividades criminales: “Hagamos un consenso: no solo hacemos tránsito al peso nuevo, sino que hacemos perder poder liberatorio a pesos sucios que todavía tienen en su poder” https://t.co/chS70S9Rn6"
613,"RT @1Daribel: Estoy CANSADA de los latinos que creen que su país no tenía delincuencia hasta que llegaron los venezolanos, no conocían la droga hasta que llegó un venezolano, no habían visto una prostituta hasta que llegó una venezolana"
614,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
615,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
616,"QT @Vicme100: RT @ANGULLI: Los que la escuchan son peores que ella ! https://t.co/uQMjqNpXGK ; Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
617,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
620,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
621,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
625,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
626,RT @hcapriles: Es inaceptable que se use la condición que tienen los presos en el país para imponerles una posición política! Qué vean las ONG defensoras de DDHH cómo los adoctrinan. Estos venezolanos están presos dos veces porque aunque hayan cometido un delito tienen derecho a pensar distinto https://t.co/L8kmhB7dSw
627,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
629,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
633,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
634,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
635,"RT @A_OrdonezM: Hoy hablaré con @VickyDavilaH sobre los venezolanos en el país y su impacto en la seguridad y el trabajo de los colombianos, sobre los violadores de niños y la necesidad de evaluar la pena de muerte y sobre cómo someteremos a los bandidos al imperio de la ley. @WRadioColombia https://t.co/0o7qrk5ZiZ"
638,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
639,@JESUISLEPROFE @ResistentPatria @JuanManSantos entre los ladrones hay venezolanos y colombianos..ya se les esta pegando las malas mañas a los colombianos de nuestros vecinos los venezolanos.
643,"RT @Guillermoegh066: @Giamaria14 @petrogustavo @GAlessandra_ Y @Giamaria14 Soy Venezolano fuera de 🇻🇪 con media Familia en mi país, Sufriendo a toda escala la tragedia Diaria de Inflación, Escasez, Inseguridad y Narcoterrorismo créanme mucho peor que la 🇨🇴 de los80. @petrogustavo es ese espejo mismo Cliché-No lo permitan"
645,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
646,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
650,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
652,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
653,"RT @NTN24: 🎥 [#VENEZUELA] ""Presos venezolanos optan por comer ratas y palomas para no morir de hambre"": Periodista Pableysa Ostos https://t.co/Rp6WqFJbJ9 https://t.co/I5P2xkwANs"
654,RT @hcapriles: Es inaceptable que se use la condición que tienen los presos en el país para imponerles una posición política! Qué vean las ONG defensoras de DDHH cómo los adoctrinan. Estos venezolanos están presos dos veces porque aunque hayan cometido un delito tienen derecho a pensar distinto https://t.co/L8kmhB7dSw
659,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
660,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
667,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
671,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
673,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
675,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
677,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
678,"RT @1Daribel: Estoy CANSADA de los latinos que creen que su país no tenía delincuencia hasta que llegaron los venezolanos, no conocían la droga hasta que llegó un venezolano, no habían visto una prostituta hasta que llegó una venezolana"
680,RT @Lauraggils: @NoticiasCaracol ¿Qué tal si dejamos de decir “venezolanos ilegales”? Ningún venezolano es “ilegal” porque la migración irregular no es un delito. Les propongo decir “venezolanos en situación irregular”.
683,"RT @1Daribel: Estoy CANSADA de los latinos que creen que su país no tenía delincuencia hasta que llegaron los venezolanos, no conocían la droga hasta que llegó un venezolano, no habían visto una prostituta hasta que llegó una venezolana"
684,"QT @A_OrdonezM: simon bolivar tenia pena de muerte a los corruptos vuelvala realidad la seguridad privada esperando plata hahahahah https://t.co/GVyjEep0Uz ; Hoy hablaré con @VickyDavilaH sobre los venezolanos en el país y su impacto en la seguridad y el trabajo de los colombianos, sobre los violadores de niños y la necesidad de evaluar la pena de muerte y sobre cómo someteremos a los bandidos al imperio de la ley. @WRadioColombia https://t.co/0o7qrk5ZiZ"
685,@Citytv y quienes son la mayoría de rateros los venezolanos
686,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
688,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
694,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
696,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
698,"@DrodriguezVen esta si es mucha caretabla cinco venezolanos mueren diariamente de hambre, delincuencia, miseria, sin medicinas, sin dignidad debido a la peor peste del siglo XXI, utilizan los pocos chavistas para engendrarles mas odio por la gente q trabaja! #nomasdictadura"
705,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
706,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
708,RT @alfredohnc: Ayer los Venezolanos no vieron el peligro que significa esta bandera en su país. // Hoy #PetroEnMedellin https://t.co/eMk8S5HWLy
710,RT @JaimeFarfanr: ¡Estamos a tiempo de crear leyes para combatir el fenómeno de la migración venezolana! No podemos permitir que los grupos criminales se aprovechen de la situación. #estonoesunafrontera @URosario @URosarioRadio
711,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
713,RT @mindefensa: #Destacado Autoridades colombianas denuncian creciente participación de venezolanos en acciones criminales. https://t.co/uqxixa7BKu
714,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
715,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
717,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
719,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
